AV,SiOSi_std,SiOSi_min,g_dft,SiO_gmean,SiOSi_gmean,SiOSi_skew,k_dft,SiOSi_average,spg,SiOSi_hmean,largest_included_sphere,SiOSi_var,mode_dim,SiO_var,SiOSi_max,NASA,VolFrac,volume,SiO_mean,NAV,max_dim,SiO_min,SiO_skew,ASA,largest_included_sphere_free,SiOSi_mean,SiO_average,density,min_dim,SiO_max,largest_free_sphere,SiO_std,SiO_hmean
0,13.7383431,126.3197819,36.4868668,1.611974322,143.8615767,1.177419126,37.61057852,144.4742817,2,143.2869378,2.11829,188.7420711,0,0.000184391,180,0,0,12.94722404,1.612031189,0,0,1.598431109,1.026143841,0,1.47086,144.4742817,1.612031189,2.56869286,0,1.640989614,0.64037,0.013579075,1.611917779
0.00842976,16.44610972,124.935364,26.056213,1.608868669,152.2561116,0.199491697,22.82960581,153.1347857,2,151.3836993,3.78584,270.4745249,1,2.27E-06,180,4.33457,0.01726,16.24280079,1.608869376,0,1,1.605567854,-1.626139649,0,3.78584,153.1347857,1.608869376,2.04751892,1,1.610068959,2.90768,0.001506932,1.608867962
0,13.07643612,128.776248,43.4596654,1.605522897,151.0471942,0.46634731,61.79591417,151.5999709,2,150.505751,3.3358,170.9931815,0,0.000141172,180,0,0,16.78582593,1.605566584,0.0018372,0,1.595027118,1.293319753,0,3.32925,151.5999709,1.605566584,1.981281236,0,1.632202522,1.99412,0.011881594,1.605479487
0.000658983,12.52372696,135.9964535,38.42791315,1.612519525,150.355226,0.418076494,68.90928296,150.8653888,3,149.8558679,3.36794,156.843737,1,0.000108194,178.6263086,0,0.00146,15.01095406,1.6125528,0.000496494,1,1.603951132,1.915069522,0,3.21318,150.8653888,1.6125528,2.215544848,1,1.638959145,2.60201,0.010401622,1.612486522
0.0109986,11.97973111,132.9395659,36.18202738,1.598352132,152.9660355,0.162863213,46.59615094,153.4318495,3,152.5028043,4.07045,143.5139575,2,0.000194965,174.6334372,44.1053,0.0216,16.9344867,1.598412655,0,2,1.582947545,1.329434937,0,3.88779,153.4318495,1.598412655,1.963888397,2,1.630176063,3.04052,0.013962984,1.598292072
0,13.1203738,124.0368659,43.53242399,1.612532858,146.0388102,0.137745701,66.36024971,146.6251675,4,145.4537195,2.96981,172.1442087,0,2.78E-05,173.9987372,0,0,15.19473946,1.612541457,0.000127928,0,1.608589148,1.21726924,0,2.96981,146.6251675,1.612541457,2.188747101,0,1.623402795,1.86,0.005273127,1.612524282
0,15.68701697,122.9743523,39.42252645,1.613738329,143.1900467,0.402830275,47.46409165,144.0250831,4,142.3781609,2.38188,246.0825015,0,0.000224943,168.8294476,0,0,13.42831398,1.613808142,0,0,1.586777506,-0.266668231,0,2.305,144.0250831,1.613808142,2.476665499,0,1.636761153,1.1276,0.01499811,1.613668396
0,16.99270909,122.3957632,34.97196292,1.617194275,142.198968,0.480349092,29.93728797,143.1773449,4,141.2556923,1.9825,288.7521621,0,0.000353637,173.1361695,0,0,12.83282383,1.617303794,0,0,1.582211569,-0.206393557,0,1.93809,143.1773449,1.617303794,2.591591873,0,1.647718597,0.69156,0.018805232,1.617084566
0,14.90228838,121.2908166,40.26559883,1.614147809,142.9602116,0.079869848,64.68268755,143.7330009,4,142.1909472,2.26109,222.0781988,0,0.000437349,167.0384451,0,0,13.58415813,1.614283879,0,0,1.580269251,-0.507847259,0,2.26003,143.7330009,1.614283879,2.448251974,0,1.638803568,0.95333,0.02091288,1.614011138
0,13.11114711,130.8610671,39.66649542,1.614012368,147.5419551,0.09733073,55.09511311,148.1212259,4,146.9658928,2.7706,171.9021785,0,0.000120608,168.0768938,0,0,14.36076843,1.614049601,1.73E-05,0,1.60272905,0.768833966,0,2.75948,148.1212259,1.614049601,2.315853926,0,1.635608903,1.17606,0.010982185,1.613975263
